path,layer,language,purpose,imports,imported_by_references,runtime_usage,test_usage,docker_usage,makefile_usage,ci_usage,documentation_usage,dynamic_loading_risk,generated_or_handwritten,current_owner_responsibility,proposed_action,reason,deletion_confidence
.agent/CONTINUITY.md,documentation,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Architecture/documentation,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.agent/README.md,documentation,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Architecture/documentation,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.env.example,repository-governance,Other,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,True,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/CODE_OF_CONDUCT.md,ci,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/CONTRIBUTING.md,ci,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/SECURITY.md,ci,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/workflows/backend.yml,ci,YAML,Continuous-integration workflow.,[],[],False,False,False,False,False,False,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/workflows/docker.yml,ci,YAML,Continuous-integration workflow.,[],[],False,False,False,False,False,False,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/workflows/frontend.yml,ci,YAML,Continuous-integration workflow.,[],[],False,False,False,False,False,False,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/workflows/inference.yml,ci,YAML,Continuous-integration workflow.,[],[],False,False,False,False,False,False,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.github/workflows/ml.yml,ci,YAML,Continuous-integration workflow.,[],[],False,False,False,False,False,False,False,handwritten,Quality/CI,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
.gitignore,repository-governance,Other,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,True,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
LICENSE,repository-governance,Other,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,True,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
Makefile,developer-tooling,Make,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,True,False,handwritten,Developer tooling,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
NOTICE,repository-governance,Other,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,True,False,handwritten,Repository maintainers,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
README.md,documentation,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Architecture/documentation,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/.prettierrc,frontend,Other,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/Dockerfile,frontend,Dockerfile,Container build or runtime service definition.,[],[],False,False,False,False,False,True,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/README.md,frontend,Markdown,"Architecture, operation, provenance, or historical documentation.",[],[],False,False,False,False,False,True,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/eslint.config.js,frontend,JavaScript,"Repository source, configuration, or governance asset.","[""@eslint/js"", ""eslint-plugin-react-hooks"", ""eslint-plugin-react-refresh"", ""globals"", ""typescript-eslint""]",[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/index.html,frontend,HTML,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/nginx.conf,frontend,Other,"Repository source, configuration, or governance asset.",[],[],False,False,True,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/package-lock.json,frontend,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,True,False,False,False,False,generated,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/package.json,frontend,JSON,"Configuration, manifest, fixture, or generated evidence.",[],[],False,False,True,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/playwright.config.ts,frontend,TypeScript,"Repository source, configuration, or governance asset.","[""@playwright/test""]",[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/postcss.config.js,frontend,JavaScript,"Repository source, configuration, or governance asset.",[],[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/scripts/measure-recognition-performance.mjs,frontend,JavaScript,"Repository source, configuration, or governance asset.","[""node:crypto"", ""node:fs/promises"", ""node:path"", ""node:perf_hooks"", ""node:url"", ""vite""]",[],False,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/app/App.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""./routes"", ""react-router-dom""]","[""apps/web/src/main.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/app/routes.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""../features/recognition"", ""react-router-dom""]","[""apps/web/src/app/App.tsx""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/components/CameraPermissionPanel.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""../../../shared/ui/Button"", ""lucide-react""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/tests/components.test.tsx""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/components/CameraPreview.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""react""]","[""apps/web/src/features/recognition/components/RecognitionWorkspace.tsx"", ""apps/web/src/features/recognition/tests/components.test.tsx""]",True,True,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
apps/web/src/features/recognition/components/RecognitionPage.tsx,frontend,TypeScript/React,"Repository source, configuration, or governance asset.","[""./RecognitionWorkspace""]","[""apps/web/src/features/recognition/index.ts""]",True,False,False,False,False,False,False,handwritten,Web recognition feature,KEEP,"Active source, test, configuration, evidence, or protected provenance.",1.0
