dataset_source,dataset_version,mode,category,original_relative_path,current_relative_path,original_filename,raw_label,normalized_label_ar,label_key,variant_index,extension,sha256,size_bytes,duration_seconds,fps,frame_count,width,height,readable,validation_errors,split
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آخَرُ (إِشَارَة 1).mp4,raw/mosl_videos_dataset_Diverse/آخَرُ (إِشَارَة 1).mp4,آخَرُ (إِشَارَة 1).mp4,آخَرُ (إِشَارَة 1),آخَرُ,اخر,1,.mp4,dfa4247e9aa27216d521a08c518d71fdb9b6efbdfd9d4739afc602c18114c22f,54263,2.64,25.0,66,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آخَرُ (إِشَارَة 2).mp4,raw/mosl_videos_dataset_Diverse/آخَرُ (إِشَارَة 2).mp4,آخَرُ (إِشَارَة 2).mp4,آخَرُ (إِشَارَة 2),آخَرُ,اخر,2,.mp4,ddeab76f3713cd42089622ef6a819aba1fc46245cff9067f1f9920ac99ecd64f,76914,2.56,25.0,64,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آسَفِي.mp4,raw/mosl_videos_dataset_Diverse/آسَفِي.mp4,آسَفِي.mp4,آسَفِي,آسَفِي,اسفي,1,.mp4,39f5937f6b81551c34ed5599fd369d4c636dddda0078e3f05628b572fd3cfa62,75727,2.72,25.0,68,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آسِفٌ (إِشَارَة 1).mp4,raw/mosl_videos_dataset_Diverse/آسِفٌ (إِشَارَة 1).mp4,آسِفٌ (إِشَارَة 1).mp4,آسِفٌ (إِشَارَة 1),آسِفٌ,اسف,1,.mp4,9051b873b6d58bd64d2c4675af4362dfcde6766e05a61a36c3b23e7774eac545,101179,4.16,25.0,104,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آسِفٌ (إِشَارَة 2).mp4,raw/mosl_videos_dataset_Diverse/آسِفٌ (إِشَارَة 2).mp4,آسِفٌ (إِشَارَة 2).mp4,آسِفٌ (إِشَارَة 2),آسِفٌ,اسف,2,.mp4,b236fced63be63514e11cea408cede24e24b022b7bd4a63dda2d57b881c2f7ae,98740,4.8,30.0,144,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةٌ حَاسِبَةٌ (إِشَارَة 1).mp4,raw/mosl_videos_dataset_Diverse/آلَةٌ حَاسِبَةٌ (إِشَارَة 1).mp4,آلَةٌ حَاسِبَةٌ (إِشَارَة 1).mp4,آلَةٌ حَاسِبَةٌ (إِشَارَة 1),آلَةٌ حَاسِبَةٌ,الة_حاسبة,1,.mp4,92030c72260ec73b1bbe444532f41d257888ceae20efd9d167b01aa018dac249,97780,3.76,25.0,94,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةٌ حَاسِبَةٌ (إِشَارَة 2).mp4,raw/mosl_videos_dataset_Diverse/آلَةٌ حَاسِبَةٌ (إِشَارَة 2).mp4,آلَةٌ حَاسِبَةٌ (إِشَارَة 2).mp4,آلَةٌ حَاسِبَةٌ (إِشَارَة 2),آلَةٌ حَاسِبَةٌ,الة_حاسبة,2,.mp4,f484ef6c606653bdd9616a9ca410197befe5cddb9acf444e86f7e43b54574f3e,122135,4.0,25.0,100,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةٌ كَاتِبَةٌ.mp4,raw/mosl_videos_dataset_Diverse/آلَةٌ كَاتِبَةٌ.mp4,آلَةٌ كَاتِبَةٌ.mp4,آلَةٌ كَاتِبَةٌ,آلَةٌ كَاتِبَةٌ,الة_كاتبة,1,.mp4,e6ac027d890d70db501e0c6b05674a59b9ede4765302f54973172e0bcdb1b1e1,138012,3.84,25.0,96,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةُ التَّحَكُّمِ.mp4,raw/mosl_videos_dataset_Diverse/آلَةُ التَّحَكُّمِ.mp4,آلَةُ التَّحَكُّمِ.mp4,آلَةُ التَّحَكُّمِ,آلَةُ التَّحَكُّمِ,الة_التحكم,1,.mp4,acf9bb5222d56b13fc3ee640817a74b55346f26e45479b9c6b609a9fde306185,101386,3.24,25.0,81,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةُ التَّصْبينِ.mp4,raw/mosl_videos_dataset_Diverse/آلَةُ التَّصْبينِ.mp4,آلَةُ التَّصْبينِ.mp4,آلَةُ التَّصْبينِ,آلَةُ التَّصْبينِ,الة_التصبين,1,.mp4,4738dfba91b6acda5b2e98ae5d5a884432084edcf9d4eb13f97cd087f4941481,115216,4.24,25.0,106,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةُ الحِلاَقَةِ (إِشَارَة 1).mp4,raw/mosl_videos_dataset_Diverse/آلَةُ الحِلاَقَةِ (إِشَارَة 1).mp4,آلَةُ الحِلاَقَةِ (إِشَارَة 1).mp4,آلَةُ الحِلاَقَةِ (إِشَارَة 1),آلَةُ الحِلاَقَةِ,الة_الحلاقة,1,.mp4,94b17be3e8f79778824e623603b216c9424b821f0e30a80cae5a33475a49d546,110982,6.0,25.0,150,460,460,True,,
mosl-video-dataset,source-import-v1,WORD_ISOLATED,Diverse,vedios-dataset/mosl_videos_dataset_Diverse/آلَةُ الحِلاَقَةِ (إِشَارَة 2).mp4,raw/mosl_videos_dataset_Diverse/آلَةُ الحِلاَقَةِ (إِشَارَة 2).mp4,آلَةُ الحِلاَقَةِ (إِشَارَة 2).mp4,آلَةُ الحِلاَقَةِ (إِشَارَة 2),آلَةُ الحِلاَقَةِ,الة_الحلاقة,2,.mp4,614130672558efbabbb5a185a500b856b644107f71379324ce50c0bdd768fc3e,120580,3.76,25.0,94,460,460,True,,
